id,x,y
394,-84.55482257,39.37659227
395,-84.55367707,39.37013441
396,-81.99706157,41.41043454
397,-82.00190153,41.40186965
398,-82.01283201,41.41154486
399,-82.00848585,41.39880089
400,-82.04730378,41.38431162
401,-80.74043209,40.34416951
402,-80.77548294,40.33614068
403,-80.82828533,40.33311399
404,-80.6722077,40.44914155
405,-80.6565283,40.60167317
406,-80.66451495,40.59269811
407,-80.61635706,40.33603876
408,-83.83263516,40.76563536
409,-81.95552826,41.45194346
410,-81.96552465,41.44742071
411,-80.77279387,41.87037487
412,-84.56634036,39.267256
413,-84.5348294,39.30069753
414,-84.0394211,39.7291141
415,-84.45839067,39.47174803
416,-84.40329895,39.33015103
417,-84.44965497,39.36688222
418,-84.175042,39.24271487
419,-84.1835779,38.91851549
420,-81.77451382,41.45116901
421,-81.78446389,41.43497147
422,-82.59283857,41.29178056
423,-82.67647811,41.31061817
424,-83.81545477,39.96396675
425,-84.45427126,39.45689224
426,-84.54362255,39.43210141
427,-82.49487009,39.15063885
428,-82.50252727,39.19514216
429,-82.37307452,39.08181554
430,-82.54355781,39.23139291
431,-82.47576888,39.27596393
432,-82.4638026,39.24067958
433,-82.38261061,39.34335696
434,-82.39579681,39.18204465
435,-82.55215023,39.33570552
436,-81.8455293,41.44194096
437,-83.5278499,41.65648171
438,-83.63739134,41.72379849
439,-83.61744881,41.67410419
440,-81.74482086,41.30615203
441,-81.44489221,41.35280111
442,-81.76980965,41.31100133
443,-82.51914418,40.77198918
444,-82.60673301,40.95832806
445,-82.66569599,40.9837412
446,-82.78765615,40.72296167
447,-82.97270571,40.80811922
448,-80.6871111,41.88214789
449,-83.55885047,41.0140236
450,-82.69437407,41.53966975
451,-81.74595518,41.35761667
452,-81.42444219,41.45342091
453,-82.9207045,39.92711877
454,-84.55377178,39.36604725
455,-84.56053649,39.37172807
456,-84.56235694,39.39244819
457,-84.35960341,39.35898877
458,-80.78950131,40.56881476
459,-80.63614264,40.44641652
460,-80.7647644,40.44516724
461,-80.82219247,40.26217168
462,-81.89509168,41.33069969
463,-84.37161046,39.34536468
464,-84.38501432,39.34010637
465,-84.50096038,39.10717271
466,-84.49226741,39.13688599
467,-84.42729718,39.15390789
468,-80.60067058,40.66142693
469,-80.65173017,40.60058956
470,-80.60282519,40.45794669
471,-80.6109142,40.45398255
472,-84.40247129,39.34225469
473,-80.5760352,40.62624641
474,-80.58120176,40.61872639
475,-81.72426677,41.03120668
476,-81.72062587,41.04242243
477,-80.62988663,40.32321012
478,-83.81366521,40.7730035
479,-83.84579661,40.76925605
480,-83.58827257,40.64891025
481,-83.59398747,40.63866187
482,-83.81365827,40.7657226
483,-83.83289105,40.77293246
484,-81.55294423,41.3866318
485,-81.71595553,41.33930569
486,-81.94288061,41.44400238
487,-81.66654284,41.35636238
488,-81.7505382,41.42568755
489,-81.96566625,41.42346139
490,-81.93841805,41.459147
491,-81.49425028,39.845621
492,-81.62094665,39.76092544
493,-81.35719956,39.6699337
494,-80.63025143,41.93674714
495,-80.78897242,41.88696799
496,-80.74231978,41.87202084
497,-80.80859533,41.90338097
498,-80.817473,41.88929648
499,-80.89460181,41.85652005
500,-84.56912322,39.27264212
501,-81.52664876,41.19230966
502,-82.79636532,40.14413626
503,-84.56617387,39.43371909
504,-84.56630466,39.41475964
505,-80.77515366,41.85961883
506,-80.80279437,41.89829146
507,-80.80169361,41.89380335
508,-80.83555823,41.89497191
509,-84.39289197,39.30636342
510,-84.43236756,39.36576715
511,-83.78722962,39.90825969
512,-83.94139536,39.86790757
513,-83.81819946,39.94791544
514,-82.54774646,41.37372034
515,-83.80648041,39.94596074
516,-83.83927503,39.93067167
517,-84.39340664,39.10124425
518,-83.29508573,40.9333611
519,-83.16212794,40.77322327
520,-83.28637898,40.81960377
521,-83.1983614,40.8839619
522,-83.41668475,40.74490085
523,-82.75536007,40.78976712
524,-82.73475326,40.78544187
525,-82.73601496,40.77983225
526,-82.77049503,40.75207207
527,-81.86793003,41.29376338
528,-81.84145075,41.28265115
529,-80.88129935,41.16907228
530,-81.74685248,41.41998513
531,-81.85124477,41.2968084
532,-81.42982956,41.35944941
533,-81.40447076,41.37731053
534,-81.44219372,41.36087173
535,-81.51449577,41.60873383
536,-81.51595776,41.54019269
537,-81.86938001,41.44683879
538,-81.885076,41.44491559
539,-81.61559647,41.41894731
540,-81.57995886,41.40818668
541,-81.48314521,41.54153939
542,-81.50230905,41.52193043
543,-81.49233421,41.51561441
544,-81.57118978,41.42041639
545,-81.53237696,41.4222108
546,-81.71660801,41.40674997
547,-84.15806515,40.51899386
548,-84.35083095,39.40068868
549,-84.75424759,39.53790458
550,-84.67054144,39.3992196
551,-84.46510392,39.52323054
552,-82.70060737,39.28914194
553,-83.67637507,41.06637007
554,-83.46740967,41.04434567
555,-82.73559587,39.79624981
556,-82.73757296,39.75200272
557,-82.79142487,39.75763863
558,-83.7830704,39.97369306
559,-83.5202234,41.67716808
560,-83.61494343,41.60321269
561,-83.51131871,41.62942113
562,-83.53861194,41.66838517
563,-82.78444161,40.73651968
564,-82.78820596,40.72984081
565,-82.83520959,40.7421738
566,-82.81075314,40.72918756
567,-82.80096743,40.71874111
568,-81.67259609,41.38065261
569,-81.75887039,41.28578719
570,-81.77340406,41.29674887
571,-81.72398769,41.28951089
572,-81.44268456,41.51715539
573,-81.91458072,41.41304449
574,-83.48196587,41.21357587
575,-83.44930162,41.56979385
576,-83.43494134,41.59535877
577,-83.42505992,41.57318402
578,-83.54105297,41.55684098
579,-83.56574018,41.56365306
580,-83.5653042,41.52401705
581,-83.53247028,41.57217837
582,-83.49308661,41.54800292
583,-83.46977502,41.52779572
584,-83.58964877,41.49402685
585,-83.65693909,41.52794542
586,-83.67216599,41.38234999
587,-83.53726586,41.58261381
588,-83.66388964,41.37913464
589,-83.69233429,41.38947784
590,-83.6638511,41.39817528
591,-81.52952293,41.39122281
592,-81.52318299,41.37711489
593,-82.05033506,39.00065151
594,-82.57561926,39.77396144
595,-82.56446096,39.71930235
596,-82.57011703,39.71039441
597,-82.57218151,41.40715623
598,-82.55948507,41.40138891
599,-82.55622234,41.397147
600,-82.67418554,41.45105228
601,-83.68340334,41.03122851
602,-83.65506299,41.03076126
603,-84.69505433,39.18292945
604,-84.57514128,39.21697766
605,-83.48082516,41.1283831
606,-83.44442268,41.1512234
607,-83.42785109,41.15954213
608,-82.77433784,40.7296148
609,-82.80705742,39.96127838
610,-82.98337179,40.02027621
611,-82.95805959,40.05244994
612,-81.75394343,41.35647053
613,-83.09275269,39.94819155
614,-82.95396196,39.9588391
615,-82.97782354,40.09863201
616,-81.81083751,41.30339389
617,-81.75491274,41.47503727
618,-81.8232709,41.42528059
619,-81.8979587,41.44509474
620,-81.85268871,41.40564241
621,-82.88673238,40.0238323
622,-83.02376143,40.10284227
623,-83.00935356,39.99111889
624,-83.0600198,40.03498078
625,-83.03007764,40.01834672
626,-83.0858899,40.11943455
627,-83.01252303,40.09096644
628,-82.96733126,40.08488721
629,-83.89212309,38.87190765
630,-83.645721,41.01849077
631,-83.03417506,40.03624663
632,-83.14718632,39.94104043
633,-83.09147173,39.94085644
634,-83.64683617,41.0388592
635,-83.82333146,40.86438983
636,-83.65588622,41.08197364
637,-83.70776728,40.95077557
638,-83.63993049,41.0617966
639,-83.81901757,40.96626749
640,-83.04078299,40.30574684
641,-83.07261592,40.30939686
642,-83.07116443,40.30160915
643,-83.07391762,40.29673545
644,-82.70571462,41.03178332
645,-84.4572394,40.2046605
646,-83.0753438,39.92750667
647,-82.8808523,39.97091471
648,-83.04104045,39.98306555
649,-82.86039151,39.82721186
650,-82.91700924,40.04530785
651,-83.02386676,40.05901105
652,-83.12065212,40.30879836
653,-84.79015819,40.21163761
654,-84.61539686,40.24982669
655,-84.56826819,40.18743086
656,-84.49095919,40.21856192
657,-82.95901615,39.90224759
658,-82.93293842,39.95008124
659,-84.53104411,39.3103943
660,-82.88025078,39.94820735
661,-82.89383445,39.93872018
662,-82.84260954,39.91216005
663,-82.97582709,39.85735565
664,-83.0040364,40.05812123
665,-83.01434559,40.0573698
666,-83.01408145,40.06090618
667,-82.95123749,40.00596837
668,-83.35946426,40.16844226
669,-83.52446265,40.29709228
670,-83.8059316,39.91519382
671,-83.79347519,39.92093586
672,-83.80010195,39.91609078
673,-82.62794286,39.73359766
674,-82.64864692,39.73294823
675,-82.64298015,39.72007897
676,-82.41785571,41.07606816
677,-82.76036968,41.43569933
678,-82.75079047,41.45640147
